Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Unpolarized capacitor, small symbol",C_Small,C1 C2,C_Small,C_0805_2012Metric,2, ,~
2,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05,J2,Conn_01x05,UDPI_interface,1, ,~
3,USB Full-Featured Type-C Receptacle connector,USB_C_Receptacle,J1,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1, ,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
4,"0.38A Id, 60V Vds, N-Channel MOSFET, SOT-23",2N7002K,Q1 Q2 Q3,2N7002K,SOT-23,3, ,https://www.diodes.com/assets/Datasheets/ds30896.pdf
5,"Resistor, small symbol",R_Small,R1 R2 R3,R_Small,R_0805_2012Metric,3, ,~
6,"20MHz, 8kB Flash, 512B SRAM, 128B EEPROM, SOIC-14",ATtiny814-SS,U1,ATtiny814-SS,SOIC-14_3.9x8.7mm_P1.27mm,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/40001912A.pdf





